category,rank,name,location,imageurl,description,latitude,longitude,ratingurl
things,1,Flagship Amsterdam Open Boat Canal Cruise - Local live guide with bar on board,"Amsterdam, The Netherlands",https://media-cdn.tripadvisor.com/media/photo-s/22/60/80/91/caption.jpg,"Fun and informative and money well spent. Skipper and host were comical and enjoyable, telling us random but no less incredible facts about Amsterdam as we sailed through it.",52.3727598,4.8936041,/AttractionProductReview-g188590-d14202596-Flagship_Amsterdam_Open_Boat_Canal_Cruise_Local_live_guide_with_bar_on_board-Amste.html
things,2,"Dubai: Red Dunes ATV, Sandsurf, Camels, Stargazing & 5* BBQ at Al Khayma Camp™️","Dubai, United Arab Emirates",https://media-cdn.tripadvisor.com/media/photo-s/1b/bb/da/be/caption.jpg,"The best experience in Dubai. Everything was perfect. The show, the quad, the 4x4 tour in the desert, sandboarding, the reception at the camp, the meal, our very friendly guide.",25.2653471,55.2924914,/AttractionProductReview-g295424-d15135502-Dubai_Red_Dunes_ATV_Sandsurf_Camels_Stargazing_5_BBQ_at_Al_Khayma_Camp-Dubai_Emira.html
things,3,Tour of North Shore & Sightseeing,"Honolulu, Hawaii",https://media-cdn.tripadvisor.com/media/photo-s/21/60/ce/b5/caption.jpg,Our tour guide was awesome! He taught us so much about Hawaiian culture and history. The Waimea gardens and waterfall were gorgeous and definitely something you don't want to miss! Loved every minute!,21.2891309,-157.7173915,/AttractionProductReview-g60982-d11989461-Tour_of_North_Shore_Sightseeing-Honolulu_Oahu_Hawaii.html
things,4,Aruba Natural Pool and Indian Cave Jeep Safari,"Aruba, Caribbean",https://media-cdn.tripadvisor.com/media/photo-s/1c/b3/f4/17/caption.jpg,"Amazing excursion - great introduction to the wonders of Aruba’s undeveloped side. Wonderful guide - knowledgeable, informative, personable, witty, helpful, and thoughtful. Excellent lunch included.",12.4333297,-69.90788823047265,/AttractionProductReview-g147247-d11481303-Aruba_Natural_Pool_and_Indian_Cave_Jeep_Safari-Aruba.html
things,5,Clear Kayak Tour of Shell Key Preserve and Tampa Bay Area,"Tierra Verde, Florida",https://media-cdn.tripadvisor.com/media/photo-s/1b/90/99/61/caption.jpg,What a wonderful and relaxing way to spend the day - kayaking in beautiful blue water and meandering in and out of mangroves. Our fabulous guide was full of information.,27.673139,-82.72868763606749,/AttractionProductReview-g34690-d17743944-Clear_Kayak_Tour_of_Shell_Key_Preserve_and_Tampa_Bay_Area-Tierra_Verde_Florida.html
things,6,Classic Inca Trail Trek 4D/3N to Machu Picchu (Group Service),"Cusco, Peru",https://media-cdn.tripadvisor.com/media/photo-s/23/9e/01/58/3n-to-machu-picchu-group.jpg,"Accomplishing this hike was made so much easier by Alpaca Expeditions, our guide, and the porters and chefs that came along. They are 100% local and indigenous-owned and are forerunners in sustainable tourism.",-13.5170887,-71.9785356,/AttractionProductReview-g294314-d23808248-Classic_Inca_Trail_Trek_4D_3N_to_Machu_Picchu_Group_Service-Cusco_Cusco_Region.html
things,7,Reykjavik Food Walk - Local Foodie Adventure in Iceland,"Reykjavik, Iceland",https://media-cdn.tripadvisor.com/media/photo-s/22/26/10/de/reykjavik-food-walk.jpg,"A perfect afternoon of eating, walking, and laughing. We were particularly impressed with the variety of restaurants: fancy, traditional and even street. Also timed well in that we never waited and never rushed.",64.145981,-21.9422367,/AttractionProductReview-g189970-d15846329-Reykjavik_Food_Walk_Local_Foodie_Adventure_in_Iceland-Reykjavik_Capital_Region.html
things,8,High-Speed Thames River RIB Cruise in London,"London, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/23/71/0c/c0/caption.jpg,Exhilarating experience for the whole family!,51.5073219,-0.1276474,/AttractionProductReview-g186338-d11454893-High_Speed_Thames_River_RIB_Cruise_in_London-London_England.html
things,9,Rafting - Brotas - Rio Jacare Pepira,"Brotas, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/1a/e2/2e/85/caption.jpg,Great memorable family experience!,-22.2840884,-48.1267265,/AttractionProductReview-g793338-d16860780-Rafting_Brotas_Rio_Jacare_Pepira-Brotas_State_of_Sao_Paulo.html
things,10,City & Beatles Tour - BLUE ROUTE,"Liverpool, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/23/84/07/3a/chance-to-get-off-the.jpg,Amazing bus tour with Chloe and Collin!,53.4071991,-2.99168,/AttractionProductReview-g186337-d17404744-City_Beatles_Tour_BLUE_ROUTE-Liverpool_Merseyside_England.html
things,11,The Best tour in Florence: Renaissance & Medici Tales - guided by a STORYTELLER,"Florence, Italy",https://media-cdn.tripadvisor.com/media/photo-s/22/db/2a/43/caption.jpg,A great way to learn more about how the Medici family shaped Florence. My tour guide did an excellent job turning complicated history into easy-to-follow stories.,43.7698712,11.2555757,/AttractionProductReview-g187895-d16796242-The_Best_tour_in_Florence_Renaissance_Medici_Tales_guided_by_a_STORYTELLER-Florenc.html
things,12,Hot Air Balloons Ride in Luxor Egypt By HOD-HOD SOLIMAN,"Luxor, Egypt",https://media-cdn.tripadvisor.com/media/photo-s/1a/66/21/ef/caption.jpg,"Loved it from beginning to end - so still up in the air, incredible views of the Valley of the Kings and several temples, and a stunning sunrise. Unbeatable!",25.702096,32.647186,/AttractionProductReview-g294205-d16666889-Hot_Air_Balloons_Ride_in_Luxor_Egypt_By_HOD_HOD_SOLIMAN-Luxor_Nile_River_Valley.html
things,13,Cappadocia Balloon Ride and Champagne Breakfast,"Goreme, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/23/aa/2c/9d/cappadocia-balloon-ride.jpg,"A dream come true. The scenery was beautiful, and the flight was breathtaking. The entire crew of staff were professional and caring.",38.642089,34.8296234,/AttractionProductReview-g297983-d11452318-Cappadocia_Balloon_Ride_and_Champagne_Breakfast-Goreme_Cappadocia.html
things,14,Little Havana Food and Walking Tour in Miami,"Miami, Florida",https://media-cdn.tripadvisor.com/media/photo-s/23/80/6e/73/caption.jpg,"Great food, great local history, and great new friends. A fun experience that I would definitely recommend as a way to get aquatinted with a new community.",25.7741728,-80.19362,/AttractionProductReview-g34438-d11470104-Little_Havana_Food_and_Walking_Tour_in_Miami-Miami_Florida.html
things,15,Half-Day Mojave Desert ATV Tour from Las Vegas,"Las Vegas, Nevada",https://media-cdn.tripadvisor.com/media/photo-s/1c/ba/91/9d/caption.jpg,"Thoroughly enjoyed the entire tour. Detailed, funny, and most importantly very serious about our safety and gave a great experience that I would definitely do again!",36.1672559,-115.148516,/AttractionProductReview-g45963-d13305114-Half_Day_Mojave_Desert_ATV_Tour_from_Las_Vegas-Las_Vegas_Nevada.html
things,16,The Chocolatarium Chocolate Tour Experience in Edinburgh,"Edinburgh, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/21/63/0b/53/the-chocolatarium-chocolate.jpg,Hidden Gem of Edinburgh tourism,55.9533456,-3.1883749,/AttractionProductReview-g186525-d18935493-The_Chocolatarium_Chocolate_Tour_Experience_in_Edinburgh-Edinburgh_Scotland.html
things,17,Cab tours belfast famous black taxi tours,"Belfast, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/23/84/1c/7f/caption.jpg,Amazing!,54.603533,-5.928807,/AttractionProductReview-g186470-d15746485-Cab_tours_belfast_famous_black_taxi_tours-Belfast_Northern_Ireland.html
things,18,Adventure Dubrovnik - Sea Kayaking and Snorkeling Tour,"Dubrovnik, Croatia",https://media-cdn.tripadvisor.com/media/photo-s/1d/c1/4b/2c/kayak.jpg,Best day yet!,42.64873625,18.094680152605108,/AttractionProductReview-g295371-d11454174-Adventure_Dubrovnik_Sea_Kayaking_and_Snorkeling_Tour-Dubrovnik_Dubrovnik_Neretva_C.html
things,19,"Best of Istanbul: 1, 2 or 3-Day Private Guided Istanbul Tour","Istanbul, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/1a/5b/33/2f/caption.jpg,Great and flexible way to see the city,41.0091982,28.9662187,/AttractionProductReview-g293974-d11460259-Best_of_Istanbul_1_2_or_3_Day_Private_Guided_Istanbul_Tour-Istanbul.html
things,20,"Chichen Itza, Cenote and Valladolid All-Inclusive Tour","Cancun, Mexico",https://media-cdn.tripadvisor.com/media/photo-s/1c/86/e8/ce/caption.jpg,Make the most of the drive to the ruins!,21.1617854,-86.8510468,/AttractionProductReview-g150807-d15665143-Chichen_Itza_Cenote_and_Valladolid_All_Inclusive_Tour-Cancun_Yucatan_Peninsula.html
things,21,Dubai: Old and Modern City Tour with Blue Mosque Visit by OceanAir™️,"Dubai, United Arab Emirates",https://media-cdn.tripadvisor.com/media/photo-s/1a/e4/81/dc/caption.jpg,Dubai : Went to the Yacht cruise with Oceaniar Tour Travel guide,25.2653471,55.2924914,/AttractionProductReview-g295424-d15563463-Dubai_Old_and_Modern_City_Tour_with_Blue_Mosque_Visit_by_OceanAir-Dubai_Emirate_of.html
things,22,Vespa Sidecar Tour in Rome with Cappuccino,"Rome, Italy",https://media-cdn.tripadvisor.com/media/photo-s/1a/65/2d/88/caption.jpg,Excellent! Best way to see Rome in style!,41.8933203,12.4829321,/AttractionProductReview-g187791-d15000791-Vespa_Sidecar_Tour_in_Rome_with_Cappuccino-Rome_Lazio.html
things,23,ABC Snorkel Charters Port Douglas Snorkelling max 12 passengers,"Port Douglas, Australia",https://media-cdn.tripadvisor.com/media/photo-s/21/b6/b0/f2/guided-outer-reef-snorkelling.jpg,Definitely a 10 Star Experience,-16.4845983,145.4636294,/AttractionProductReview-g255070-d23637791-ABC_Snorkel_Charters_Port_Douglas_Snorkelling_max_12_passengers-Port_Douglas_Queen.html
things,24,"Paragliding Oludeniz, Fethiye, Turkey","Oludeniz, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/1d/1e/c0/7a/caption.jpg,"Brilliant experience. We took off from a snowy mountain, flew through a clear blue sky and landed on the beach.",36.5728162,29.135727,/AttractionProductReview-g312737-d16672461-Paragliding_Oludeniz_Fethiye_Turkey-Oludeniz_Mugla_Province_Turkish_Aegean_Coast.html
things,25,"Arenales Caves, River and Waterfall Plus Hidden Spring Full Day Adventure in PR","San Juan, Puerto Rico",https://media-cdn.tripadvisor.com/media/photo-s/1d/1e/c0/0f/caption.jpg,Adventures in nature,18.46633,-66.10572,/AttractionProductReview-g147320-d20295875-Arenales_Caves_River_and_Waterfall_Plus_Hidden_Spring_Full_Day_Adventure_in_PR-San.html
